review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000002,ORD-20251113-956946,CUST-10162,REST-SHJ-001,Outstanding experience! The Samosa (2 pcs) and Rasmalai (2 pcs) exceeded all expectations. Samosa (2 pcs) was the star of the meal. Will definitely order again!,5,2025-11-16T19:28:19.031590
REV-000003,ORD-20251115-862601,CUST-10465,REST-AUH-001,Poor experience. Masala Chai were disappointing. Masala Chai was burnt on the edges. Very unhappy.,2,2025-11-17T14:51:03.031590
REV-000001,ORD-20251112-945599,CUST-10175,REST-AUH-002,Outstanding experience! The Gulab Jamun (2 pcs)  Malai Kofta  and Chicken 65 exceeded all expectations. Gulab Jamun (2 pcs) was the star of the meal. Will definitely order again!,5,2025-11-17T17:53:04.031590
REV-000004,ORD-20251116-581078,CUST-10195,REST-SHJ-001,Disappointed with Gulab Jamun (2 pcs)  Chicken 65  and Chicken Biryani. Gulab Jamun (2 pcs) was cold when it arrived. Not worth the money.,2,2025-11-18T22:09:57.031590
REV-000005,ORD-20251117-186872,CUST-10223,REST-DXB-001,Really good Chicken Tikka Masala and Masala Chai! The Masala Chai was delicious. Slight delay in delivery but food quality made up for it.,4,2025-11-20T17:31:17.031590
REV-000006,ORD-20251118-381022,CUST-10146,REST-DXB-002,Absolutely amazing Aloo Tikki Chaat  Chicken 65  Garlic Naan  Mango Lassi  and Chicken Biryani! The Chicken 65 was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-23T16:51:32.031590
REV-000007,ORD-20251121-214525,CUST-10321,REST-SHJ-001,It was okay. Chicken 65  Garlic Naan  and Malai Kofta arrived lukewarm. Malai Kofta tasted fine but could be better.,3,2025-11-27T17:28:58.031590
REV-000008,ORD-20251124-137711,CUST-10158,REST-AUH-002,Solid experience. Garlic Naan and Rasmalai (2 pcs) were well-prepared. Garlic Naan had great flavor. Minor issues with packaging.,4,2025-12-01T13:04:31.031590
REV-000010,ORD-20251203-471941,CUST-10299,REST-AUH-002,Incredible meal! Palak Paneer  Masala Chai  and Fresh Lime Soda arrived hot and fresh. The Palak Paneer was absolutely divine. Highly satisfied!,5,2025-12-04T15:00:39.031590
REV-000009,ORD-20251130-712477,CUST-10016,REST-DXB-002,It was okay. Butter Chicken arrived lukewarm. Butter Chicken tasted fine but could be better.,3,2025-12-05T17:37:49.031590
REV-000011,ORD-20251206-210027,CUST-10109,REST-DXB-002,Poor experience. Gajar Halwa were disappointing. Gajar Halwa was burnt on the edges. Very unhappy.,2,2025-12-10T14:55:55.031590
REV-000012,ORD-20251207-854263,CUST-10222,REST-DXB-002,Perfect in every way! Mango Lassi were all excellent. Mango Lassi stood out with its rich  authentic taste.,5,2025-12-14T10:53:39.031590
REV-000013,ORD-20251210-886145,CUST-10200,REST-DXB-002,Disappointed with Garlic Naan and Jeera Rice. Jeera Rice was cold when it arrived. Not worth the money.,2,2025-12-15T19:18:34.031590
REV-000016,ORD-20251216-764004,CUST-10014,REST-AUH-002,Good quality food. Gajar Halwa  Chicken Biryani  Masala Chai  Butter Naan  and Naan were nicely done. Gajar Halwa could have been slightly spicier but still good!,4,2025-12-18T14:30:21.031590
REV-000015,ORD-20251215-909775,CUST-10224,REST-DXB-001,Outstanding experience! The Gulab Jamun (2 pcs)  Masala Chai  and Chicken Seekh Kebab exceeded all expectations. Gulab Jamun (2 pcs) was the star of the meal. Will definitely order again!,5,2025-12-20T22:24:11.031590
REV-000017,ORD-20251218-482223,CUST-10409,REST-AUH-002,Best Indian food in UAE! Fish Curry  Chicken 65  and Naan were incredible. Naan had the perfect balance of spices. Five stars!,5,2025-12-21T16:41:01.031590
REV-000014,ORD-20251215-591236,CUST-10398,REST-AUH-001,Outstanding experience! The Lamb Rogan Josh exceeded all expectations. Lamb Rogan Josh was the star of the meal. Will definitely order again!,5,2025-12-21T18:18:53.031590
REV-000019,ORD-20251224-790555,CUST-10369,REST-AUH-001,Outstanding experience! The Rasmalai (2 pcs)  Chicken 65  Lamb Rogan Josh  and Gajar Halwa exceeded all expectations. Chicken 65 was the star of the meal. Will definitely order again!,5,2025-12-25T15:14:38.031590
REV-000018,ORD-20251220-363774,CUST-10493,REST-SHJ-001,Really good Chicken 65 and Gulab Jamun (2 pcs)! The Chicken 65 was delicious. Slight delay in delivery but food quality made up for it.,4,2025-12-27T12:54:12.031590
REV-000020,ORD-20251224-591454,CUST-10043,REST-AUH-001,Worst food ever! Gulab Jamun (2 pcs)  Butter Naan  and Aloo Tikki Chaat were all wrong. Aloo Tikki Chaat made me sick. Never ordering again!,1,2025-12-30T20:03:41.031590
REV-000021,ORD-20251229-253816,CUST-10443,REST-AUH-001,Expected better. Malai Kofta  Jeera Rice  Butter Chicken  and Gulab Jamun (2 pcs) were subpar. Jeera Rice was too oily and greasy. Stomach upset followed.,2,2026-01-02T11:53:26.031590
REV-000023,ORD-20260102-490228,CUST-10174,REST-DXB-002,Perfect in every way! Butter Naan and Lamb Rogan Josh were all excellent. Butter Naan stood out with its rich  authentic taste.,5,2026-01-03T15:36:15.031590
REV-000024,ORD-20260102-356491,CUST-10382,REST-AUH-002,Outstanding experience! The Masala Chai and Dal Makhani exceeded all expectations. Dal Makhani was the star of the meal. Will definitely order again!,5,2026-01-05T17:37:35.031590
REV-000025,ORD-20260105-122504,CUST-10031,REST-DXB-002,Shocking! Garlic Naan  Chicken 65  Kulfi  Butter Naan  and Sweet Lassi bore no resemblance to the menu description. Chicken 65 was inedible. Refund demanded!,1,2026-01-06T10:14:11.031590
REV-000022,ORD-20251231-234366,CUST-10062,REST-DXB-001,Outstanding experience! The Mango Lassi exceeded all expectations. Mango Lassi was the star of the meal. Will definitely order again!,5,2026-01-07T21:29:26.031590
REV-000026,ORD-20260109-406611,CUST-10352,REST-AUH-001,Really good Malai Kofta  Chicken Biryani  Samosa (2 pcs)  Tandoori Roti  and Dal Makhani! The Dal Makhani was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-13T14:41:45.031590
REV-000027,ORD-20260111-808249,CUST-10158,REST-DXB-002,Exceptional quality! Ordered Lamb Rogan Josh and Chole Bhature and everything was delicious. The Chole Bhature melted in my mouth. Perfect!,5,2026-01-16T22:03:44.031590
REV-000029,ORD-20260117-468931,CUST-10247,REST-DXB-001,Not good. Chicken Tikka Masala and Vegetable Biryani arrived late and cold. Chicken Tikka Masala had barely any flavor. Poor quality.,2,2026-01-18T22:04:06.031590
REV-000028,ORD-20260115-719934,CUST-10468,REST-DXB-001,Very satisfied! Dal Makhani  Samosa (2 pcs)  Masala Chai  Sweet Lassi  and Chicken 65 were fresh and flavorful. Masala Chai was the standout dish.,4,2026-01-19T17:29:47.031590
REV-000030,ORD-20260118-758351,CUST-10189,REST-AUH-002,Pleasant meal! Butter Chicken  Tandoori Roti  Lamb Rogan Josh  Mango Lassi  and Jeera Rice arrived warm. Mango Lassi was tasty though not exceptional. Would order again.,4,2026-01-20T10:58:49.031590
REV-000034,ORD-20260123-771636,CUST-10042,REST-DXB-002,Disaster! Rasmalai (2 pcs)  Lamb Rogan Josh  Kulfi  Sweet Lassi  and Gulab Jamun (2 pcs) were all stale. Gulab Jamun (2 pcs) had a weird smell. Completely unacceptable!,1,2026-01-24T12:03:50.031590
REV-000031,ORD-20260121-669692,CUST-10488,REST-DXB-002,Good quality food. Mango Lassi  Rasmalai (2 pcs)  Chicken 65  and Lamb Rogan Josh were nicely done. Chicken 65 could have been slightly spicier but still good!,4,2026-01-26T13:23:55.031590
REV-000033,ORD-20260122-400233,CUST-10307,REST-DXB-002,Incredible meal! Malai Kofta  Masala Chai  Chole Bhature  and Vegetable Biryani arrived hot and fresh. The Chole Bhature was absolutely divine. Highly satisfied!,5,2026-01-27T12:18:06.031590
REV-000032,ORD-20260121-225734,CUST-10146,REST-DXB-001,Exceptional quality! Ordered Garlic Naan  Gulab Jamun (2 pcs)  and Sweet Lassi and everything was delicious. The Garlic Naan melted in my mouth. Perfect!,5,2026-01-27T18:31:47.031590
REV-000035,ORD-20260127-214983,CUST-10355,REST-DXB-002,Hands down the best Samosa (2 pcs) I've ever had! Chicken 65  Chole Bhature  Fish Curry  Paneer Tikka  and Samosa (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2026-02-02T20:13:27.031590
REV-000036,ORD-20260131-398327,CUST-10087,REST-SHJ-001,Outstanding experience! The Naan  Rasmalai (2 pcs)  and Masala Chai exceeded all expectations. Naan was the star of the meal. Will definitely order again!,5,2026-02-03T10:58:50.031590
REV-000037,ORD-20260131-332845,CUST-10436,REST-AUH-001,Outstanding experience! The Malai Kofta and Fish Curry exceeded all expectations. Fish Curry was the star of the meal. Will definitely order again!,5,2026-02-04T21:55:41.031590
REV-000038,ORD-20260201-870810,CUST-10430,REST-DXB-002,Wow! Just wow! Malai Kofta were all fantastic. Malai Kofta was particularly memorable. Can't wait to order again!,5,2026-02-07T13:19:45.031590
