restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level
REST-AUH-001,ITEM-101,Samosa (2 pcs),Starter,17.43,"Potato, Peas, Spices, Pastry",True,Medium
REST-AUH-001,ITEM-102,Paneer Tikka,Starter,36.48,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-AUH-001,ITEM-103,Chicken 65,Starter,39.61,"Chicken, Curry Leaves, Spices",False,Hot
REST-AUH-001,ITEM-104,Aloo Tikki Chaat,Starter,22.67,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-AUH-001,ITEM-105,Chicken Seekh Kebab,Starter,40.78,"Minced Chicken, Spices, Onion",False,Medium
REST-AUH-001,ITEM-201,Paneer Butter Masala,Main Course,47.1,"Paneer, Tomato, Cream, Butter",True,Mild
REST-AUH-001,ITEM-202,Dal Makhani,Main Course,38.83,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-AUH-001,ITEM-203,Palak Paneer,Main Course,43.85,"Spinach, Paneer, Spices",True,Medium
REST-AUH-001,ITEM-204,Malai Kofta,Main Course,45.8,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-AUH-001,ITEM-205,Chole Bhature,Main Course,38.29,"Chickpeas, Fried Bread, Spices",True,Medium
REST-AUH-001,ITEM-301,Butter Chicken,Main Course,52.82,"Chicken, Tomato, Butter, Cream",False,Mild
REST-AUH-001,ITEM-302,Chicken Tikka Masala,Main Course,48.85,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-AUH-001,ITEM-303,Lamb Rogan Josh,Main Course,62.05,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-AUH-001,ITEM-304,Fish Curry,Main Course,55.29,"Fish, Coconut, Curry Leaves",False,Hot
REST-AUH-001,ITEM-305,Chicken Biryani,Main Course,48.03,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-AUH-001,ITEM-401,Naan,Bread,7.91,"Flour, Yogurt, Yeast",True,None
REST-AUH-001,ITEM-402,Garlic Naan,Bread,10.13,"Flour, Garlic, Butter",True,None
REST-AUH-001,ITEM-403,Butter Naan,Bread,8.82,"Flour, Butter, Milk",True,None
REST-AUH-001,ITEM-404,Tandoori Roti,Bread,6.21,Whole Wheat Flour,True,None
REST-AUH-001,ITEM-405,Jeera Rice,Rice,17.27,"Basmati Rice, Cumin Seeds",True,None
REST-AUH-001,ITEM-406,Vegetable Biryani,Rice,42.52,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-AUH-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.7,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-AUH-001,ITEM-502,Rasmalai (2 pcs),Dessert,17.41,"Cottage Cheese, Milk, Saffron",True,None
REST-AUH-001,ITEM-503,Kulfi,Dessert,20.99,"Milk, Cardamom, Pistachios",True,None
REST-AUH-001,ITEM-504,Gajar Halwa,Dessert,21.86,"Carrot, Milk, Ghee, Sugar",True,None
REST-AUH-001,ITEM-601,Masala Chai,Beverage,11.9,"Tea, Milk, Spices",True,None
REST-AUH-001,ITEM-602,Mango Lassi,Beverage,18.45,"Mango, Yogurt, Sugar",True,None
REST-AUH-001,ITEM-603,Sweet Lassi,Beverage,15.36,"Yogurt, Sugar, Cardamom",True,None
REST-AUH-001,ITEM-604,Fresh Lime Soda,Beverage,11.49,"Lime, Soda, Salt/Sugar",True,None
REST-AUH-002,ITEM-101,Samosa (2 pcs),Starter,17.24,"Potato, Peas, Spices, Pastry",True,Medium
REST-AUH-002,ITEM-102,Paneer Tikka,Starter,34.26,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-AUH-002,ITEM-103,Chicken 65,Starter,37.58,"Chicken, Curry Leaves, Spices",False,Hot
REST-AUH-002,ITEM-104,Aloo Tikki Chaat,Starter,21.89,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-AUH-002,ITEM-105,Chicken Seekh Kebab,Starter,42.17,"Minced Chicken, Spices, Onion",False,Medium
REST-AUH-002,ITEM-201,Paneer Butter Masala,Main Course,44.25,"Paneer, Tomato, Cream, Butter",True,Mild
REST-AUH-002,ITEM-202,Dal Makhani,Main Course,38.57,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-AUH-002,ITEM-203,Palak Paneer,Main Course,40.85,"Spinach, Paneer, Spices",True,Medium
REST-AUH-002,ITEM-204,Malai Kofta,Main Course,45.15,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-AUH-002,ITEM-205,Chole Bhature,Main Course,40.58,"Chickpeas, Fried Bread, Spices",True,Medium
REST-AUH-002,ITEM-301,Butter Chicken,Main Course,54.18,"Chicken, Tomato, Butter, Cream",False,Mild
REST-AUH-002,ITEM-302,Chicken Tikka Masala,Main Course,50.75,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-AUH-002,ITEM-303,Lamb Rogan Josh,Main Course,67.28,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-AUH-002,ITEM-304,Fish Curry,Main Course,56.58,"Fish, Coconut, Curry Leaves",False,Hot
REST-AUH-002,ITEM-305,Chicken Biryani,Main Course,48.33,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-AUH-002,ITEM-401,Naan,Bread,8.17,"Flour, Yogurt, Yeast",True,None
REST-AUH-002,ITEM-402,Garlic Naan,Bread,9.9,"Flour, Garlic, Butter",True,None
REST-AUH-002,ITEM-403,Butter Naan,Bread,9.1,"Flour, Butter, Milk",True,None
REST-AUH-002,ITEM-404,Tandoori Roti,Bread,5.82,Whole Wheat Flour,True,None
REST-AUH-002,ITEM-405,Jeera Rice,Rice,17.48,"Basmati Rice, Cumin Seeds",True,None
REST-AUH-002,ITEM-406,Vegetable Biryani,Rice,43.17,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-AUH-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.41,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-AUH-002,ITEM-502,Rasmalai (2 pcs),Dessert,18.1,"Cottage Cheese, Milk, Saffron",True,None
REST-AUH-002,ITEM-503,Kulfi,Dessert,19.32,"Milk, Cardamom, Pistachios",True,None
REST-AUH-002,ITEM-504,Gajar Halwa,Dessert,21.96,"Carrot, Milk, Ghee, Sugar",True,None
REST-AUH-002,ITEM-601,Masala Chai,Beverage,11.8,"Tea, Milk, Spices",True,None
REST-AUH-002,ITEM-602,Mango Lassi,Beverage,18.04,"Mango, Yogurt, Sugar",True,None
REST-AUH-002,ITEM-603,Sweet Lassi,Beverage,15.23,"Yogurt, Sugar, Cardamom",True,None
REST-AUH-002,ITEM-604,Fresh Lime Soda,Beverage,11.6,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-001,ITEM-101,Samosa (2 pcs),Starter,18.59,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-001,ITEM-102,Paneer Tikka,Starter,36.5,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-001,ITEM-103,Chicken 65,Starter,37.88,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-001,ITEM-104,Aloo Tikki Chaat,Starter,21.76,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-001,ITEM-105,Chicken Seekh Kebab,Starter,41.09,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-001,ITEM-201,Paneer Butter Masala,Main Course,46.55,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-001,ITEM-202,Dal Makhani,Main Course,37.74,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-001,ITEM-203,Palak Paneer,Main Course,40.67,"Spinach, Paneer, Spices",True,Medium
REST-DXB-001,ITEM-204,Malai Kofta,Main Course,42.53,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-001,ITEM-205,Chole Bhature,Main Course,41.06,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-001,ITEM-301,Butter Chicken,Main Course,50.84,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-001,ITEM-302,Chicken Tikka Masala,Main Course,48.39,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-001,ITEM-303,Lamb Rogan Josh,Main Course,65.71,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-001,ITEM-304,Fish Curry,Main Course,57.35,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-001,ITEM-305,Chicken Biryani,Main Course,47.87,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-001,ITEM-401,Naan,Bread,8.23,"Flour, Yogurt, Yeast",True,None
REST-DXB-001,ITEM-402,Garlic Naan,Bread,9.64,"Flour, Garlic, Butter",True,None
REST-DXB-001,ITEM-403,Butter Naan,Bread,8.67,"Flour, Butter, Milk",True,None
REST-DXB-001,ITEM-404,Tandoori Roti,Bread,6.08,Whole Wheat Flour,True,None
REST-DXB-001,ITEM-405,Jeera Rice,Rice,18.53,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-001,ITEM-406,Vegetable Biryani,Rice,41.45,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.1,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-001,ITEM-502,Rasmalai (2 pcs),Dessert,17.73,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-001,ITEM-503,Kulfi,Dessert,19.47,"Milk, Cardamom, Pistachios",True,None
REST-DXB-001,ITEM-504,Gajar Halwa,Dessert,22.46,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-001,ITEM-601,Masala Chai,Beverage,12.5,"Tea, Milk, Spices",True,None
REST-DXB-001,ITEM-602,Mango Lassi,Beverage,18.89,"Mango, Yogurt, Sugar",True,None
REST-DXB-001,ITEM-603,Sweet Lassi,Beverage,15.12,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-001,ITEM-604,Fresh Lime Soda,Beverage,12.58,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-002,ITEM-101,Samosa (2 pcs),Starter,18.87,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-002,ITEM-102,Paneer Tikka,Starter,33.63,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-002,ITEM-103,Chicken 65,Starter,39.3,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-002,ITEM-104,Aloo Tikki Chaat,Starter,21.07,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-002,ITEM-105,Chicken Seekh Kebab,Starter,42.49,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-002,ITEM-201,Paneer Butter Masala,Main Course,46.13,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-002,ITEM-202,Dal Makhani,Main Course,39.27,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-002,ITEM-203,Palak Paneer,Main Course,41.49,"Spinach, Paneer, Spices",True,Medium
